procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 4668340 906356 5941924    0    0     0    86 2901 6260  4  1 94  0  0
 0  0      0 4655956 906716 5956916    0    0     1   901 5096 10045  6  2 91  0  0
 0  0      0 4646076 906740 5953312    0    0     0    62 4174 7015  4  1 95  0  0
 0  0      0 4670488 906744 5945420    0    0     0    38 1998 4275  3  1 96  0  0
 4  0      0 4651700 906776 5946196    0    0     0   222 3095 7866  6  2 92  0  0
 3  0      0 4632836 906792 5968868    0    0     4   463 4269 7784  5  2 93  0  0
 0  0      0 4712052 906796 5921192    0    0     0    43 3464 5405  3  1 96  0  0
 1  0      0 4660372 906800 5925576    0    0     0    66 2030 4589  3  1 96  0  0
 0  0      0 4672624 906816 5920580    0    0     0   398 3320 4210  2  1 97  0  0
 0  0      0 4661548 906820 5958004    0    0     0    30 2261 3933  2  1 97  0  0
 1  0      0 4686344 906820 5935248    0    0     0     0 3188 5215  3  1 96  0  0
 0  0      0 4698328 906824 5934472    0    0     0   336 2765 4846  3  1 96  0  0
 0  0      0 4685828 906832 5936156    0    0     0   157 1948 3760  3  1 97  0  0
 1  0      0 4703132 907156 5931612    0    0     0   938 2091 5437  4  1 95  0  0
 1  0      0 4668988 907176 5929824    0    0     0   158 1657 4306  3  1 96  0  0
 0  0      0 4665136 907212 5935936    0    0     4   346 2647 5754  4  1 95  0  0
 0  0      0 4663464 907216 5931340    0    0     0   427 1279 2595  1  1 98  0  0
 0  0      0 4678908 907220 5926080    0    0     0   115 1400 3185  2  1 97  0  0
 0  0      0 4677688 907220 5923116    0    0     0   482 3606 4464  2  1 97  0  0
 0  0      0 4690532 907232 5908500    0    0     0   166 3612 4577  2  1 97  0  0
 0  0      0 4677356 907232 5940212    0    0     0     7 3555 6602  4  1 94  0  0
 0  0      0 4692188 907232 5928640    0    0     0   178 1688 2502  1  0 98  0  0
 0  0      0 4696836 907232 5926228    0    0     0    56 1516 2832  1  1 98  0  0
 0  0      0 4714848 907232 5923472    0    0     0    72 3599 4749  2  1 97  0  0
 1  0      0 4710932 907232 5918224    0    0     0   154 1958 2954  1  0 98  0  0
 0  0      0 4710244 907440 5914568    0    0     0   969 1312 3231  1  0 98  0  0
 0  0      0 4694604 907440 5915676    0    0     0     6 1355 3187  2  1 98  0  0
